date,latitude,longitude,tp
2021-01-28,13.75,96.5,6.314367e-07
2024-07-20,35.5,71.25,1.8943101e-06
2022-07-11,11.0,92.0,0.0006488133
2023-04-24,17.0,76.0,-1.8626451e-09
2020-12-18,10.25,79.25,0.00054836273
2020-07-23,28.75,86.25,9.475276e-06
2024-04-16,37.0,68.25,3.1571835e-06
2022-04-28,31.5,88.25,-1.8626451e-09
2023-12-25,19.5,68.25,-1.8626451e-09
2020-08-23,35.0,77.0,1.2628734e-06
2020-08-25,17.75,75.25,-1.8626451e-09
2022-11-04,9.5,78.0,3.1571835e-06
2023-02-08,36.5,89.75,1.2628734e-06
2020-11-29,19.75,79.5,-1.8626451e-09
2021-08-24,9.5,68.5,0.006138147
2024-03-09,9.25,94.75,-1.8626451e-09
2021-01-05,30.75,69.5,-1.8626451e-09
2021-12-29,16.5,81.75,-1.8626451e-09
2020-08-03,34.75,93.0,0.00031019188
2023-12-01,26.75,73.75,-1.8626451e-09
2023-02-12,12.0,92.75,-1.8626451e-09
2021-03-06,8.25,79.0,-1.8626451e-09
2023-03-13,8.0,92.0,-1.8626451e-09
2022-08-18,20.5,71.25,3.9167702e-05
2021-09-19,21.5,93.75,0.000247648
2020-05-07,23.75,77.0,-1.8626451e-09
2022-04-08,12.0,70.0,-1.8626451e-09
2022-10-05,35.75,88.5,3.1571835e-06
2021-07-13,19.75,87.25,0.0003480967
2022-02-23,27.75,82.5,-1.8626451e-09
2021-03-23,34.75,74.5,0.0023374986
2020-07-15,29.25,68.5,-1.8626451e-09
2022-12-03,33.0,76.5,-1.8626451e-09
2021-06-09,16.25,75.0,6.9476664e-06
2023-04-25,29.75,81.25,6.314367e-07
2023-01-04,18.25,84.25,5.748868e-05
2021-03-12,12.5,92.0,-1.8626451e-09
2020-04-21,30.25,75.25,-1.8626451e-09
2022-05-24,35.5,90.5,2.9690564e-05
2023-04-17,33.5,95.25,1.6424805e-05
2022-06-15,35.25,75.0,-1.8626451e-09
2022-09-18,24.25,87.0,-1.8626451e-09
2021-06-30,37.0,83.5,-1.8626451e-09
2022-08-30,19.25,72.5,3.3481047e-05
2022-09-11,27.75,69.25,-1.8626451e-09
2020-06-16,21.5,82.75,0.00021732226
2024-06-24,31.75,69.5,-1.8626451e-09
2021-08-16,14.5,76.0,1.3265759e-05
2020-05-03,22.25,76.0,-1.8626451e-09
2023-01-27,36.0,73.75,-1.8626451e-09
2024-03-13,12.5,70.25,-1.8626451e-09
2021-08-02,27.25,81.0,6.3175336e-05
2023-08-08,33.75,85.75,6.314367e-07
2023-04-10,11.5,81.5,-1.8626451e-09
2021-07-29,26.5,80.5,1.8943101e-06
2020-07-06,17.0,68.0,3.0323863e-05
2022-05-21,8.25,86.0,2.0846725e-05
2020-01-05,8.75,77.5,1.2628734e-06
2023-09-09,17.5,72.75,0.0015926566
2021-11-07,32.0,72.0,-1.8626451e-09
2022-02-26,18.5,85.25,-1.8626451e-09
2022-09-01,15.0,72.5,0.00035504624
2021-07-04,30.0,78.5,2.842769e-05
2023-12-21,29.75,85.0,-1.8626451e-09
2021-08-30,8.75,69.75,0.00015288405
2024-02-06,16.75,75.5,-1.8626451e-09
2022-06-23,32.25,92.5,5.684793e-06
2021-06-10,32.0,76.5,2.4637207e-05
2024-04-21,26.25,89.5,-1.8626451e-09
2021-12-09,30.5,76.0,-1.8626451e-09
2022-05-28,21.75,89.5,-1.8626451e-09
2023-03-26,31.75,78.75,1.8319115e-05
2024-05-20,36.75,87.0,-1.8626451e-09
2023-06-19,11.75,82.0,0.00075558014
2024-07-28,31.25,95.0,0.00078085065
2020-04-08,26.5,78.25,2.2109598e-05
2024-07-21,8.0,70.5,0.00035630912
2020-08-13,19.0,86.5,0.00014467165
2020-05-20,20.75,86.0,0.0015212689
2023-05-13,24.0,90.0,-1.8626451e-09
2024-03-03,24.25,87.25,-1.8626451e-09
2021-05-17,12.25,75.75,0.00021290034
2021-08-13,19.25,90.0,0.00018573552
2021-01-20,9.75,70.5,5.0533563e-06
2023-11-30,32.0,91.25,2.2742897e-05
2020-05-11,21.75,68.25,1.7056242e-05
2024-06-08,25.75,91.5,0.00019268505
2023-08-10,16.5,76.0,-1.8626451e-09
2021-12-16,8.25,81.25,0.00027544424
2023-03-14,20.5,89.25,-1.8626451e-09
2023-12-04,21.0,77.0,-1.8626451e-09
2023-01-11,12.75,72.25,-1.8626451e-09
2021-09-30,20.5,70.5,0.0018876884
2021-05-21,9.75,95.5,0.0025851466
2022-11-29,31.25,68.5,-1.8626451e-09
2020-08-15,16.25,94.5,0.00088698603
2020-02-27,27.25,90.5,-1.8626451e-09
2022-03-13,25.25,75.25,-1.8626451e-09
2023-09-08,36.75,96.0,-1.8626451e-09
2022-11-08,10.25,92.75,0.0017329082
2023-12-09,34.25,93.75,-1.8626451e-09
2020-12-11,21.75,87.25,-1.8626451e-09
2022-06-12,26.25,87.75,0.0021580793
2023-10-08,30.0,75.0,-1.8626451e-09
2020-12-21,32.25,94.25,-1.8626451e-09
2020-03-14,28.0,70.5,-1.8626451e-09
2022-12-31,19.75,92.5,-1.8626451e-09
2024-07-09,14.5,87.75,6.3162297e-06
2021-04-27,18.25,91.0,-1.8626451e-09
2021-05-03,32.25,84.25,-1.8626451e-09
2021-12-22,13.0,87.5,-1.8626451e-09
2021-10-27,34.75,93.0,-1.8626451e-09
2023-11-13,9.25,71.0,5.4329634e-05
2023-12-03,31.25,75.5,-1.8626451e-09
2021-03-09,35.0,68.75,1.8943101e-06
2021-03-10,23.0,88.25,-1.8626451e-09
2021-01-20,10.0,88.25,4.801154e-05
